,0
403,pls why did they put the old man in squid games my heart aches 4him
404,am i the only one who hasnt watched squid games
405,Finished watching Squid games finally. Loved how they wanted to lowkey give me high BP
406,does any one have the link to squid games english dub?
407,@alldayellieday 😕😕😕 i lost u met aot en nu met squid games 💔💔💔💔💔💔 https://t.co/S1YgZ15vxb
408,Watch The Whole Thing Of Squid Games
409,What’s creamers? And is “squirters” the name of people in squid games? https://t.co/LFJLcuBAH0
410,They need to go squid games twice a month at least https://t.co/o5X6CKjmLI
411,"so i just finished watching squid games and uh... what the fuck??? 
it was so good but what the hell"
412,"Squid games: who would you be in this situation 

Just know ill be yalls ji-yeong 😭"
413,Squid games really knows how to fuck with your head dude 😭😭😭
414,It can’t be only me that thinks squid games is overrated
415,These the real squid games https://t.co/csvQSOLgpw
416,Squid games is so fucking sad
417,"Lethal kids games drive viral fame of Netflix series ""Squid Game"" - https://t.co/LAEQlH9MXL"
418,Thanks squid game if playing kid's games with grown ppl wasn't already hard they made it harder... 🙄
419,Alice in Borderland has more creative and crazy games than Squid Game.
420,immensely blessed someone made a tw for each episode of squid games bc my ass cannot handle gore
421,"no, why is my tl still full of anime version of squid games when i am literally part of genshintwt 😐"
422,Squid games but the prize is sex with Sara Jay
423,ngl before the hype when i saw the trailer for squid games I automatically turned dat sh!t off
424,@Izukumi09329891 @mully wdym. my news channel streams squid games to the channel everyday. they just play random episodes all the time
425,"i should continue watching squid games soon, since i’m only on episode two :0"
426,Both Sae-Byeok and Jun-Ho from Squid Games made me feel so fucking bi like Miss Sae-Byeok in the suit and Jun-Ho wi… https://t.co/rXQPLdS6kM
427,ugh squid games iss fucking crazy
428,"Lethal kids games drive viral fame of Netflix series “Squid Game”.
  https://t.co/m3Qc6vdNl9 https://t.co/1wE4cHv35G"
429,Lee Jung-jae on ‘Squid Game’’s success: “I can feel the popularity” https://t.co/17cOWrKB3x
430,sang-woo in Squid Games looks like @sushitrash and i can’t stop thinking about it
431,Somebody please tell me wtf is squid games 😂
432,Who else watching squid games? Wtf
433,"Peer pressure, at this point I know I need to see Squid games lol."
434,I cannot watch squid games now due to how popular it is.
435,Squid games is Alice in Borderlands with debt
436,@_zlinc_ @swallalisaa blink gyd guro ning whole cast sa squid games 😂
437,Lee Jung-jae on ‘Squid Game’’s success: “I can feel the popularity” https://t.co/YU9MnuJxpO (#Siguemeytesigo) (#Followback) (#News) (#SDV)
438,Squid games is crazy
439,"Lethal kids games drive viral fame of Netflix series ""Squid Game"" https://t.co/K70Naiaiq5 https://t.co/JoCo7sJgjI"
440,"Lethal kids games drive viral fame of Netflix series ""Squid Game"" https://t.co/kSouVhIxvd https://t.co/MrhJquGNzF"
441,Squid games is od. I need a season 2
442,Just discussed Squid games on a Sub Saharan call 😂
443,Squid games 🤔
444,Finally watched Squid Games. Now I can enjoy all of the tiktoks and memes about it instead of quickly scrolling past them 😂
445,So many tweets abt squid games but my Asian ass still doesnt have hoes (?)
446,Feeling like an outcast because I didn’t like squid games
447,squid games cast on running man PLS
448,@WayneH__ The sound throws me off a little I wish they'd kept the original language and subtitles cause it's a bit… https://t.co/u4qTDqrMmR
449,"This ain’t fucking Squid Games this is damn Purge Games, wtfff, I did not expect that"
450,Bruh why all the main people in Squid Games fucking models lol 😂.
451,Just watched episode 6 of Squid Games 😭
452,Watching squid games let’s see
453,id why but squid games gives me a “complaint to capitalism” kind of series vibes
454,Gotta go home nd try to watch the rest of squid games before the tl ruins it for me
455,I would play squid games for free and get elimimated on purpose
456,"@BaseGuci Series : squid games, peaky blinders
Film : enola holmes, bird box"
457,"@latandranicole It’s Squid Games on Netflix, it’s good!"
458,@malewifetae I agree but I like the concept of the children's games turning into something scary in squid game
459,@_emeraldjoon @s_hiei @ashc_127 @pinktaejun @LoadsBts @fearIessknj Hunger games was a little bit... Romantic and cu… https://t.co/NZOJjS4C53
460,Let me see what the hype of this “Squid Games” is about..ayy baby get the Netflix ready https://t.co/rAq759rvW4
461,@_lashaep U gotta start now or just mute squid games until u watch it
462,I just wanna be high af tucked up in bed watching squid games 🥺
463,"Lethal kids games drive viral fame of Netflix series ""Squid Game""  https://t.co/24cLk8AvS4"
464,They make fun of me for watching Korean shows but they loved squid games 🤦🏻‍♀️
465,I’d body all those games in squid game if we’re being real
466,"since everyone’s talking about squid games here are my absolutely not asked for opinions: 
- 067 pretty and really… https://t.co/Iiqdy71kk3"
467,@Tragedies Alice in borderlands deserves the hype imo I'm still on episode 2 of squid games and kept falling asleep LMAO
468,Y'all watched squid games in English huh??? missing out...
469,@punnysugs That square triangle and circle were the symbols for the contact card in squid games😭🥄
470,why is my tl full of squid games i thought i was on genshintwt
471,Need to watch squid games so i can understand these memes
472,@squad_r6 Squid Games
473,Watching squid games 🙄
474,Ion think I can watch a season 2 of Squid Games..
475,no bc episode 6 of squid games has  me ugly crying rn 🥺😢
476,I can't take Squid Games seriously with those voice overs I'd rather read subtitles
477,"Ayo jennie, sunwoo squid games season 2 lah gas 💨 https://t.co/fg9BMYoxjG https://t.co/quOsLK2ZXQ"
478,I’d be so dead in squid games brah
479,"For anyone wondering, Squid game is like if Jigsaw and Hunger games had a baby"
480,squid games https://t.co/RmjyHmmnoI
481,@Gvss03229324 I still haven't watched squid games
482,sp ... if i watch an ep of squid games i will still have time to watch lucifer 210-213 today right ... or will i screw it up ....
483,"Finished Squid Game.. I really liked it..
But, what games would the british public play?

#SquidGame"
484,i have not seen squid game yet but from all i've seen it looks like hunger games/battle royale
485,Squid Game was really intense and emotionally exhausting (in a good way). Kinda weak ending and justification for w… https://t.co/fWtmUIGCwk
486,@MColeman210 i think i like alice more but i haven’t finished squid games yet so it could change
487,tbh squid games made it seem like multiple people could win at the end
488,is squid games worth watching...
489,"@_emeraldjoon @s_hiei @ashc_127 @pinktaejun @LoadsBts @fearIessknj Yep! 

Glad that you brought it up because the h… https://t.co/ivcUZ6z9Lc"
490,I haven't finished squid games but I can just see Ali sacrificing himself 4 everyone 😭😭😭😭😭😭😭😭
491,audrey wants to do a mini squid games. i would like to see it
492,Puro Squid Games ang comments section ko why naman like that https://t.co/h6fYRStP8n
493,Fell asleep halfway through the first squid games episode coz i was tired. Gonna have to start over. It’s very inte… https://t.co/I7vzXt42oX
494,Me after watching the first episode of squid games https://t.co/SSCzC1bXBS https://t.co/8G5ukJy2oZ
495,"Enough squid games, who gonna play games w/ my squid⁉️🤨"
496,I’m finishing squid games at work tmrw and I don’t care what email pops up 😭
497,Squid games is a disturbing show. But I’m still watching
498,Ok because Instagram won’t shut up about it I will watch squid games there better be some tentacle play or some
499,"surprisingly given the amazing amount of content on all my social media about squid games, even though i have not w… https://t.co/zXxDgwTAEN"
500,not people saying squid game is like hunger games 🤡 the only thing remotely similar is how they have to survive to… https://t.co/9OAJBuGnWU
501,@TacticalReds_ - haven't watch squid games
502,"@jeankrsch It's the same as squid game but they have minimum amount of lives and to increase their life span, they… https://t.co/gzRcj8LZLd"
503,Unpopular opinion: Squid games is overrated
504,The old man from squid games needa give me my tears back
505,"CW  // squid games spoiler 

im crying for the old man, im crying bc ji-yeong just gave up her life bc she had noth… https://t.co/rTaa0Bn7Vq"
506,"Late at night watching squid games, smoking, bymyself love that for me."
507,i always b starting a conversation with “have you watched squid games”
508,@changedmyting OMG 😂😂😂😭😭😭😭😭😭😭😭😭😭😭😭you’re Acc filthy. I wish you was playing in squid games and I would’ve pushed you
509,@NaheanZaman @BritishGQ @tom_usher_ This first season had an extremely small budget and the director did almost eve… https://t.co/KAhIUzTaNV
510,Why do the people who run the squid games even make them sign papers? It’s not like if they were taken to court the… https://t.co/JkimzeleQJ
511,I wanna start squid games but by time as I get to it all the spoilers gin be out looks like
512,They should take all the ministers of finance for countries which are in debt for those squid games #SquidGames
513,@lovelimiese @s_hiei @ashc_127 @pinktaejun @LoadsBts @fearIessknj Or what if gihun comes back to play the next squi… https://t.co/4maI8UxBgL
514,Whenever i hear about Squid Games i just picture a squid olympics happening underwater 🦑
515,POV: u watched squid games for the “plot” https://t.co/MJ0CTwA1y4
516,SQUID GAMES?? WHAT ARE YOU DOING IN MY BIO CLASS??? https://t.co/jrHswVtney
517,"I’m always so late to jump on trends, and I’m not even half way through the first episode, but…

SQUID GAMES FUCKIN… https://t.co/ikfGQlEgf3"
518,Episode 7&amp;8 on squid games 🤯
519,I’m not sure I liked the ending of squid games 🧐
520,niggas on squid games dick like alice in borderline don’t exist.
521,"Damn, Squid Games 😭😭😭"
522,Squid Game got some fucking hunger games vibes going on there
523,Episode 6 squid games.. SHEEEEESH! 🥴
524,"watching squid games, this shit craazayyy"
525,Squid games and a fattyyy
526,@regaeon squid games season 2 pake challenge tiktok ya entar?
527,If u didn’t know who was behind squid games by the first episode ur perception skill is -100
528,I would’ve been punched that annoying bi*tch in the face on squid games. And y’all know exactly who I’m talking about.
529,Stg this was me with squid games lmaooo https://t.co/asrIr52IQ7
530,idk i would've volunteered for squid games i'm just different like that
531,brain full of hutao if she were to play squid games
532,My mom needs to get home so we can finish Squid Games 🥶
533,@vsoe @MyKoreanHusband @koryodynasty @BBCLBicker The Veil is soo much better than Squid Games in my opinion. SQ is… https://t.co/HHojKeKlfP
534,I’m glad with all this talk of squid games nobody ruined it
535,So they don’t bath in these squid games nor do they change clothes 😵‍💫
536,Squid Games!!!! Price b deez nuts
537,Watching everyone go back to thier life and it slowly fall apart is such a mind fuck. This is just episode 2. Goddamn squid games is great.
538,in conclusion the only thing that squid games did is giving me a severe bi panic https://t.co/DhuOzVyg6f
539,Would you participate in the squid games you 2nd@ is your partner🧐 https://t.co/SyjMK6VFCb
540,"@yeraldync_ @melakrish @Sconner1872 @BritishGQ @tom_usher_ I'm curious as to why you prefer squid game. Imo, AIB ha… https://t.co/n9e3moKl3H"
541,@kleeskz that guy from squid games waittt
542,@Zukoer_ Squid Games
543,He's the reason I had serious second lead syndrome watching Romance is a bonus book. Not watching Squid Game's but… https://t.co/RoBlqiSwFJ
544,I been avoiding watching Squid Games but later today I’ma try it out
545,@Famoso_Sosa_ Vas voir squid games
546,"Alice in borderland &gt;&gt;&gt; squid game 
(OTT: Netflix / only 1st season air) 

I felt like squidgame was stretched so m… https://t.co/D5b9NfmfpQ"
547,Lethal kids games drive viral fame of Netflix series “Squid Games” https://t.co/k4aRdMd4eZ
548,i really got a soft spot for the old man    on squid games and i feel so bad :( and im literally about to cry
549,maybe i should watch squid games
550,me and my bf literally finished squid games like a week n a half ago and now it’s all over my tl😂😂
551,"squid games is really one of those dramas that once you watch it, you’ll understand the hype"
552,Squid Game’s Indian actor Anupam Tripathi has an interesting connection with Song Joong-ki and Song Hye-kyo https://t.co/gHR7aZwC0Z
553,i couldn’t get into squid games
554,Did I stay up to play squid games on roblox or did I stay up to retweet a bunch of giveaways for the halloween dream team merch
555,is it squid game or games. idk
556,I don’t know why I thought it was a good idea to watch an episode of tokyo revengers after already being emotional… https://t.co/EWqibL9W2C
557,@Jimonkook3 @GoAwayWithJae @kocowa_official Imo The Veil is better than Squid Games. Didn't finish squid games it's… https://t.co/CASu4x79uC
558,Ahh watching Squid Games is giving me weird dreams/nightmares 😭
559,squid game really be promoting their nation’s childhood games huh… smart
560,about to watch the 6th episode of squid games ik something bad happens but idk what let's see
561,Squid games 🦑 https://t.co/nQfLneXvSz
562,@timiretimzzy_ Squid Games.
563,Just finished the first episode of Squid Games https://t.co/atBHsW0cue
564,I hate squid games I'm shaking about to throw up watching this
565,"Why do shows add extremely irritating characters as villains, better to add more meaningful characters like player… https://t.co/GDNhBT1VDa"
566,"Squid Games , Episode 6 https://t.co/dWeODnH9cI"
567,I am screaming and shaking and crying and throwing up at the last episode of squid games I am not okay
568,I can't decide if I'm happy or annoyed with squid games' popularity.  On the one hand yay people finally getting in… https://t.co/i05Nrb1RLS
569,Squid games but the prize is eating Scarlett Johansson's ass
570,y’all need to stop spoiling squid games on the TL
571,"Are you watching Squid Games?
I am hooked. 😁🤣 https://t.co/Jq1DD0gWV7"
572,@TaylorLGrothe Squid games is where it’s at - in original language with subtitles works best.
573,"If squid game was in the UK, what games would be played?

Put your ideas in the replies"
574,The sex scenes on squid games? Unnecessary
575,ok don’t bully me but i really don’t see the hype around squid games? it may be my absolute distaste for violence i… https://t.co/ganYe7fvaf
576,Finished squid games after I said I hated the first episode 😂
577,"@thatbrownlady THE ONLY BTS×SQUID GAMES I'LL ACCEPT

""NO""

BADUMTSSSSSS https://t.co/8slStPaE9p"
578,Having watched Squid Games I can now safely say the mannerisms of characters in anime are an accurate reflection of Asian people. lol
579,The squid games reminds me of The Platform in some ways
580,"I saw people talking about this 
“Squid Games” like 100 times on IG yesterday. Y’all better not be boosting this dang show up"
581,i really hope squid games helps y’all get into other kdramas.. https://t.co/sjbv8BW8aR
582,Seeing all this squid games … I thought my Nigga Sahbabii dropped 😩
583,squid games gives me anxiety
584,@HassnBom @art_U_w_U Squid Games ❤️🥂
585,Literally living in Korea and have not watched squid games
586,Episode 6 of squid games shows how big of snakes ppl are 😢
587,Why did no one tell me squid games is so disturbing omg
588,@rachaspotlight maybe watch squid games bc you‘ll probably see a spoiler for that soon and then watch aib bc no one talks about it
589,i cant wait for squid games season 2
590,@rachaspotlight aib games made me use my brain more i'd say squid game is less traumatizing than aib tho :)
591,season 2 of the squid games comes out December 28th 💃
592,end of squid games was like https://t.co/grPK8VXICz
593,"Squid Games is one of the brilliantly written story in recent times. Mind Blowing 🙏🙌🔥

Quodos to the writer and dir… https://t.co/leAhMpOl1N"
594,@LoadingCode @chadnome77 It's already a trend there's tons of squid game games on Roblox and squid game clothing so goodbye :)
595,finally watching Squid Games. It reminds me of Alice in Borderland so much. I gotta finish the last 2 episodes when… https://t.co/KLCUuPupwS
596,"SQUID GAMES 

Hundreds of cash-strapped contestants accept an invitation to compete in children's games for a tempt… https://t.co/xLFjxVJO8N"
597,"Yo @brodinplett an idea for next OFTV video:
@OfflineTV x Squid game, they play the same games but instead of death… https://t.co/Pyj1fbZDxT"
598,"Now that squid game is banging, are survival games trendy yet?"
599,Opening a masapan without it breaking should be a challenge in the squid games
600,"Y’all can have them squid games,I wouldn’t play. I just want @Walmart to speed up when they give me my PS5 😂🤣 🙏🏾"
601,everyone is saying alice in borderland is better than squid games. which one should i watch first? i kinda wanna wa… https://t.co/15SPPHm2Tu
602,Squid games 😵
603,"The number one show on Netflix right now is an anti-capitalist parable
https://t.co/cBLQXYBw9n"
604,what if everybody that did they PPP gotta play squid games 🤣
605,i can’t get into squid games 🤔
606,Squid Games was so fire. Don’t listen to people who keep saying it’s overrated to be different lmao. It’s really cr… https://t.co/MlREpzpbHJ
607,"@TysonApostol Ummmm say that after the final games. Unless you are the luckiest man in the world….which if you are,… https://t.co/mhjlKfL234"
608,shittiest part of Squid Games is that the prize money is not even that much.
609,"Actor Gong Yoo buys CHSB..
It's kind of digital currency, Good luck Gong Yoo ssi

https://t.co/FVm2kDHUFN"
610,"the way in squid games, they have a choice to stop playing but with alice in borderland, they literally don’t have… https://t.co/SYBzQATz2Q"
611,I don’t think any show ever had made me cry as much as squid games episode 6
612,Why the old ass man on squid games always smiling don’t shit be funny
613,Squid games wicked
614,They really played the only brown person in Squid Games 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️ had him bowing down and playing stupid and shit🤬🤬🤬
615,"If you haven’t seen the Squid Games on Netflix, it’s a must! 🤩"
616,I left the club early so I Could come home at watch Squid games 😩
617,"@bigshayyy Off I love the squid games idk if I’m willing to die for money though, at that point you’ll die for anything🤦🏾‍♀️"
618,"i was so sad when she died in squid games tbh, it was inevitable tho. https://t.co/yt2qqbN9Ah"
619,"Logging out of Twitter, y’all spoiling Squid Games and I refuse to ruin this show before I get into it"
620,Squid games is another type of deathmatch the kills are dreaded and intense!! 💀
621,The worst thing ab squid games is the intercom bitch has way too positive of a tone  for the situation
622,squid games really good asf😭😭😭
623,who has watched squid games ??? i wanna talk
624,@wilburrrx for squid games 😭
625,"I’m fairly busy these next few days but on my brothers acoustic guitar, I WILL watch the first episode of Squid Games."
626,I am at episode 5 of Squid Games and this is why I don’t play games😂
627,Imagine squid games but a Hispanic version w la rosca de reyes…whoever gets a baby gets eliminated lmfao
628,"@dxvianjxelle Tbh, i feel like i could whoop some ass in squid games.... hunger games? Mmmm mhm mhm"
629,oookkaay im done with the squid games spoilers ffs.
630,In Squid Game (2021) the paintings on the walls anticipate what games are the players going to play from the very b… https://t.co/v8ZQum8LTC
631,I didn't plan on staying awake until 5am but after watching a few episodes of Squid Games I had no choice. Wow. Just wow.
632,plsss someone mau nonton squid games dimana 😭😭
633,I invited player 276 from Squid Games to watch White Day with me hahahahah https://t.co/sopC6gCAxc
634,Squid games was so entertaining and nerve wrecking at times. 7.5/10 show imo.
635,Squid Games is a really good show btw
636,i watched squid games within 2 days!
637,put me on squid games w a bottle of honey jack and some woods &amp; im winning it all
638,I just got result 'you would last a while but would get killed by another player' on quiz 'would you survive the Sq… https://t.co/XvxIiWzPJ8
639,Once i finish The Boyz I guess Squid Game is the next shout. You freaks won’t shut up about it. Without spoilers wh… https://t.co/BSUkYNSlDc
640,"thinking about hosting Squid Games winner gets a 1/1 Solambo 🤔
@solana #NFTGaming https://t.co/HfqmwuB9oN"
641,This broke nigga on squid games is killing me
642,squid games messed with my head
643,Squid games is really insane
644,fuck that old ass man from squid games and gi hun for tryna play that dumbass game again
645,Forgive me father for I have sinned. I watched two squid games episodes with the english dub🤢
646,Episode 8 of squid games got me sobbing wtf😭😭😭
647,All these niggas in squid games is snakes yo.
648,Squid games gettin better
649,squid games got me emotionally attached to #01 like nothing else
650,Every night I tell myself I’ll start watching squid games and then I end up watching valorant streams 🥴
651,Ookie so I'll watch only murders in the building and squid games together yup yup
652,Time for me to finally start Squid Games
653,@belikesami you should watch squid games first
654,Today is a good day to stay in bed and finish Squid Games
655,imagine squid games but the prize is seeing taylor’s lockscreen
656,Just started squid games ima be pissed if it was hype I hate that
657,"I want to be rich so that I can relate too 😭.

Motives for the Squid games 👇 https://t.co/5Mq5R2fTC6"
658,Yoh this first episode of Squid games is so slow 😪
659,oomf eliminated at first round in squid games 😭
660,the way whole tl is either homcha or squid games and both are different genres and must be watched
661,I have work in 3 hours. Do I want to force sleep or watch 3 episodes of squid games
662,if you like squid games you’ll love Alice in borderland trust me tehe he’s one of the reasons why 😋 https://t.co/81FxEhcVDl
663,squid game is a statement on how capitalism is just fun and games to the rich while being a soul-crushing system th… https://t.co/6L9KX5KJmv
664,"I’ve had it with them being rude to this old man! Also, I should have never started Squid Games."
665,Squid games gives me way too much anxiety ……
666,"@blackmxst @UGHBARBlE Thank you for all the suggestions, I just finished Squid Games, my partner wasn’t happy with… https://t.co/dBY5iCzwAO"
667,"I would win the Squid Game the same way I would win the Hunger Games, by defeating my opponents in the marketplace of ideas."
668,Finished squid games😭😭😭
669,all my little cousins who used to eww and ughh at the mention of k dramas watching squid games????????????
670,Quit playing squid games with my heart.
671,"squid games is so stressful, currently shidding n crying"
672,Thank goodness for @netflix when your stuck at home with covid. The squid games watched in a day. Cracking by the w… https://t.co/kHMVOjL42r
673,You know a show is good when you binge it in one sitting. Squid games was cray
674,"@fiifibiNeyTs 😂I'm praying for season 2, this was very organized compared to Squid Games."
675,I been watched squid games yall late 😂😭😭
676,Squid games ji ok
677,So I’m the only one who still hasn’t watched squid games at this point?
678,🎵Squid playing games with my heart https://t.co/Gi7ZfsqlQj
679,I thought my steak was bloody but squid games got me beat.
680,Watched Squid Games last night and i was so bored. Why didn’t y’all tell me to watch the fucking Kardashians 🥱🥱
681,started squid games yeee
682,Is Squid Games going to be another version of Money Heist?  #SquidGames https://t.co/CBRvWavqaW
683,@EllerieMarie Fuck the squid games I'm trying to see this already https://t.co/NNRI2oKpFp
684,I THOUGHT THESE WERE SQUID GAMES LEGOS HELP MEMEMEM https://t.co/b7DtN7MEXz
685,"Roblox games yang sama cam movie squid game

-green light red light
-squid game
-fish game"
686,The flashing lights on ep 4 of squid games killed that scene for me https://t.co/lfgZ1sInbZ
687,"@HaramiiParindey Squid games, secret forest, My Mister, Alice in borderland on Netflix

If you want to feel nostalgic Reply 1988"
688,nw squid games
689,the casual racism towards squid games is so gross like how uneducated are some people /nbh
690,the end of squid games is dumb. why do niggas always wanna be heroes ?
691,"All these squid games spoilers pls calm down, IM ON EPISODE 5"
692,Squid games for niggas https://t.co/BUr4CTWYPa
693,@megerraa i finished squid games and had a crying session
694,"Everyone else: Squid Game is awesome! etc etc.

Me: Hmm...so it's like Liar Game and many other survival games with… https://t.co/BWuElc363R"
695,i‘m finishing squid games later today and if i see one more spoiler before that i swear i‘m gonna https://t.co/yDRwvc0Prb
696,Does squid games have a lot of gore????? IF YES I'LL WATCH
697,Since it looks like they all starting to get a kit lol  who in AomgH1ghr do you think is going to survive in the Sq… https://t.co/ypQ4zHJ62A
698,Amanat dari serial Squid games https://t.co/MabwbqEfI3
699,SQUID GAMES 👀 🤯
700,Fuck squid games lmao I was watching the shit in Korean this whole time that’s why I couldn’t understand shit 😑
701,I watched squid games in English maybe that’s why it wasn’t all that to me
702,If y’all watched squid games with the English voice over y’all can go die
703,"LOL, I am such an idiot. I thought it was reality TV, or a game show, from the way people were talking around it. T… https://t.co/zulJCllvLx"
704,Squid games is actually very nca👌🏾👌🏾..
705,WTH is this Squid Games??
706,I was not ready for Episode 6 of Squid Games.
707,Up binge watching squid games 😳
708,Y’all squid games is making me UGLY CRY “I’m honored….that we were partners” 😭😭😭😭😭😭😭😭😭😭😭
709,@lt91whore I have been hearing sm about squid games I think I'll have to give it a watch even tho I'm more into rom… https://t.co/SGLDEvCF2O
710,The main reason I watch squid games 🤭 https://t.co/J0Gb87wT8g
711,I finished Squid Games and now I can’t sleep Bc I’m up too late. Just as my sleep schedule was falling in place 😭😭😭
712,"Squid games is lit af. 1000% winning green light, red light."
713,"Why did I have to be cross faded watching episode 6 of Squid Games, I am an emotional mess rn this is the saddest s… https://t.co/YZBCNKXeB8"
714,@chadnome77 probably squid games idk I haven't seen it yet just the memes
715,Squid games in English is funny asf
716,"Lethal kids games drive viral fame of Netflix series ""Squid Games"" https://t.co/BqNDdld7iq https://t.co/YvSQ9HwWWA"
717,i woke up and errbody talkin bout some Squid Games
718,"Squid games on Roblox 
#SquidGame https://t.co/OrRtjYzHJ1"
719,So after finishing squid games ive come to the conclusion that its basically just a korean version of saw
720,"@_doldrums__ @belikesami people r saying alice in borderland &gt; squid games 😭 i m planning to watch both now...

BTW YES HOMCHA &gt;&gt;&gt;&gt;"
721,"Episode 6 in squid games gave me a panic attack , a literal manic crying panic attack"
722,@nuel_ah @Wale Squid games
723,hwang joonho is the policeman from squid games btw
724,imagining un1ty playing squid games😭
725,gonna continue watching squid games brb
726,y'all been talking about squid games all week🤷🏾‍♀️
727,"all these people dropping squid games spoilers.. we get it, you watched it.. you don't have to show everyone 😅"
728,"lmao how'd I even think I'll survive in squid games when I trip over air, accidentally cut my fingers while locking… https://t.co/B1rV8GIrv5"
729,Squid games is really some crazy twisted weird shit but I can’t stop watching this show wtffff lmfao
730,squid games ep 6 fucking broke me wtf I can't stop crying
731,"God damn it, we need a squid games x what if crossover that explores what the rest would have done with 45.6b won… https://t.co/I01ZNUyRUQ"
732,"the way that beomgyu spoiled squid games for me on his vlive, he gives me more reason to want throw hands at him everyday"
733,my skydoesminecraft phase tells me the squid games are bad news
734,"i m preferring homcha as it is very light romcom, but 6 episodes r left still, do u watch ongoing ones? And also wa… https://t.co/htenTdKg6q"
735,I only wanted the pic pocket girl to win on squid games everybody else
736,i’m watching squid games and i feel weirdly attracted to the guy in the red jumpsuit with the mask who talks all th… https://t.co/zo94a88o2U
737,I want to see what the hype is about with squid games but I literally do not have the time
738,If one more person ask me have I seen squid games I’m gonna lose it
739,Guess I'm watching Squid Games with someone better.
740,I cannot get into squid games at all…
741,Squid games seems quite good.
742,i need to see what that show is y’all talking bout squid games or whatever it’s called.
743,Somebody lend me their netflix real quick so i can watch squid games on my break!
744,Ima start Squid Games this weekend since y’all hyping it.
745,y’all loud as hell..NOT ALL OF US HAVE FINISHED SQUID GAMES 😭
746,i haven’t even watched squid games
747,squid games is… very scary 2 me.
748,@zlvtrry i feel like midsommar is more gory than squid games
749,tell me ppl thought the vip episode was meh and ruined the plot for me in squid games
750,squid games but the prize is dinner with johnny suh
751,LMAO. Squid Games in Summary https://t.co/lhd0oynWOR
752,IM STARTING SQUID GAMES (at three am)
753,Who is this babe in Squid games???? Her face is soooo perfect.. my god 😱😱
754,@yumekjin squid game is a real game and some of the games the player played but the series itself is not… (hope so)
755,I'm I the only one who has not watched Squid games
756,@cherrybrdrz omg did u watch squid games?
757,"@smolmin_den Nope , not at all , in fact I love violence but idk squid games is not appealing to me , maybe bcoz of… https://t.co/vXsFFIqaQB"
758,Had to rewatch squid games
759,"everyone talmbout squid games, ima have to tap in 🥸"
760,squid games' episode four is heart-stopping!!!!!!!!!
761,"that’s why i haven’t watched squid games yet, i need to be able to focus and i don’t have that capacity atm"
762,She can play me no squid games https://t.co/KHOV69bD3a
763,Stayed up to finish Squid Games. Today will definitely be a nap after work day. Or during. We're gonna play this by ear.
764,"squid games                hunger games
                          🤝"
765,"don't be mad at me pls 

i love the story plot on Squid Game but highkey i like the deadly games that were in Alice… https://t.co/E2r2S5Nyan"
766,"Okay, I’m watching squid games, and I’m watching the part with the glass bridge. Why aren’t they just throwing thei… https://t.co/lloHJ2pH53"
767,i turned squid games off man. why they do ali like that wtf
768,Ques: Is squid game worth watching? Why do i feel it is somewhat like hunger games.
769,Squid game is Fall Guys and the Hunger Games combined to make a tv show and it’s amazing 10/10
770,"Still have to finish Squid Games, Power Book 3 &amp; watch BMF. I need a moment"
771,Have a F in English but fuck it I finished squid games in one day #SquidGame
772,"“would you survive the squid games ????????”

bruh i play minecraft of course not"
773,The only Korean show I could finish in one day was Squid games because it went against the usual 16 episods https://t.co/Icm44I2eaY
774,@vk95s they may have watched squid games
775,@cric_blog @RCBTweets I thought it was that squid games suit
776,"It’s obscene how much I’d die immediately in Squid Game, someone who famously hates being forced to play games"
777,Squid games was good as hell. Binge watched all that shit
778,The end of squid games has me so messed up!!!!!! What the fuckkk man
779,The Hunger Games walked so Squid Game could run
780,if u aint watching squid games ur missing out js
781,finally finished squid games yesterday.. definitely deserving of hype.. the twist at the end didn't really come as… https://t.co/lFyeq9rcAA
782,tried squid games ------ the voice over is super cringey and i couldn't get on board - i just forwarded to the gamey bits.
783,The Squid Games episode 6. Is tough.
784,Fuck da Squid Games where can I watch da Squirt Games but LIVE???
785,"@keepstrugglin_ No, haven't opened the replies
Not opening it either
Switching off the your notifications
Turning o… https://t.co/VLFSXVoKGm"
786,Y am I up watching squid games rn????
787,In Squid Game (2021) the paintings on the walls anticipate what games are the players going to play from the very b… https://t.co/jISN1djo91
788,Not everyone on the feed playing korean games now cuz of squid game
789,@trusfratedgurl1 Kottheke dekhbo😭 Squid games to kissasian theke download korchilam. Money heist ki natural BD te ache?
790,fina turn on the squid games every time i start i go to sleep 😭
791,"squid game spoilers ig /

i really don’t like that the old man was behind everything like it’s very junko vibes idk… https://t.co/7VSn7mbXsT"
792,overall squid games was actually pretty good also it’s fun seeing everyone enjoy a kdrama sfsgs
793,"Lethal kids games drive viral fame of Netflix series ""Squid Games""  https://t.co/dYM2xXBsP2"
794,@forvlivearmys @btsilovwyou and search for squid games
795,Up watching Squid Games
796,"@nancy_koi @ruthypoo3 @Itsam0ra @TheePrincessJaz Although it’s in Japanese, the plot is kind of similar to squid ga… https://t.co/QMSdelsZmI"
797,Squid Games Actor Gong Yoo buys $CHSB  !!  #SquidGames #GongYoo  #Kdrama #SouthKorea  https://t.co/CLRNf5anpn
798,The old man from squid games was basically the same as the old man from Saw.
