,0
88,niggas think they could win the squid games but a lot of you mfs would not make it past tug of war
89,I knew I was finna have a ole dumbass dream bout squid games I’m getting cards and shit
90,SQUID GAMES EPISODE SIX LET'S GOOOOOO
91,"it’s better than squid games TO ME.
story line, characters, everything! https://t.co/UyXGi8OFi6"
92,@Rezaditama_w @younotpurple @TheAn1meMan Squid Game is a constantly mind blowing and nonstop goosebumps meanwhile b… https://t.co/Unc5h55d7X
93,"@yabugginnn no you don't understand, i really thought squid game was something about squidward until my brother tol… https://t.co/PJGvBMeux7"
94,@peachiewhore squid games
95,@Joobebe101 He’s scary competitive 😭😭he’s a true self preservationist if he had to choose between himself and anoth… https://t.co/qN6tULeKcm
96,Finna mute Squid Games cause yall talk too mf much. Just watch the show and stfu
97,"I keep hearing about squid games, might have to check it out"
98,Squid games 😆 ○△□ https://t.co/yy1eA5YXOZ
99,is squid games worth watching?
100,ok i haven’t actually watched squid game yet but isn’t this just the hunger games /lh https://t.co/tDUnWBv1Hz
101,Thanks to editor moa txt x squid game edit spread around but  Lets be honest here they cant even win games on to do 😭
102,The character from The Squid Games got no sense of awareness at all
103,That second last episode of squid games was pure stress
104,Who's watching Squid games here ivet so many confusions ;__;
105,"#FPLCommunity friends, welcome to #FPL Squid Game, a non-life or death version of your favorite Korean Netflix seri… https://t.co/vmWPCz8Et4"
106,still tryna wrap my head around the fact that in Squid Game they came to a majority vote to end the games and these… https://t.co/mNKB2FR9Lq
107,y’all so rude for posting about squid games like let people have a couple days to watch before writing your spoilers
108,Ok Squid Games got me thru my second half💪🏾 #IMIN😩🥴
109,Squid Games braaaaazy
110,Squid games are basically just kaiji but more wider audience lol
111,@CHEVYWOODS @McQueenVF squid games crazy
112,@beebinton nigga like me would join squid games just for her https://t.co/EXqGLtLze0
113,"holy shit i just watched the first episode of the squid games
Idk what i was expecting but definitely not that"
114,i havent watched squid games but ive managed to avoid ALL spoilers
115,Squid games? https://t.co/Tf64N7sWJK
116,rting many squid games bts edit but never watching it 🤸‍♀️🤸‍♀️
117,What F corona was 1 of the squid games !? https://t.co/uj9t9Eg24S
118,Ep 6 of squid games wasn’t ode? Wtf
119,squid games is mad slow omg
120,bruh that old man in squid games ain’t explain shit lmaoooo
121,what if they made squid games for idols but obv they don't d!e but maybe get shot which paint balls or the glass ga… https://t.co/dKokDfyg9O
122,Wow episode 6 of squid games was hard to watch….
123,"Maybe I need to watch it 

(Squid Games) https://t.co/Xed10AaJgT"
124,Idk but locals and every other person loving squid games is now cringing...weird
125,"Y’all are on about Squid Games right

I offer 

As the Gods will"
126,damn do I need to watch this squid games shit !? that all everyone is talking about.
127,They should of played this on Squid Games😂💯 https://t.co/GKJhTA3t9z
128,Please dont be like me &amp; watch Squid Games before falling asleep while being high lmao 😭
129,finally watching squid games lol
130,Squid Games on Netflix is WILD! Omg.. and that was just the first episode.
131,"Trying to figure out why things like Battle Royale, Squid Game, Hunger Games etc. plunge me into a bit of a depress… https://t.co/Y7firmGm3L"
132,the success of Squid Games with no marketing whatsoever just shows the power of word of mouth mehn
133,ok I started squid games no way my birthday is the same as a lunar year
134,Squid games but the prize is dinner with you
135,i just know that jungkook will survive the six games if they all join the squid game lol https://t.co/5267ycEcV1
136,squid game spoilers: ok i see people calling sangwoo the bad guy but he did what he had to do to be successful in t… https://t.co/nzD0LHygRU
137,Amazon factories gnna turn into Squid Games one day
138,squid game but its the mcc games lol
139,wanna binge squid games but need to know if it's as devastating as alice in borderland bc after ep3 i needed like f… https://t.co/wl4XmojDlE
140,Is this the original Roblox Squid Game?https://t.co/lRdBGdP5hq
141,You'll think Squid games is just a movie but somewhere it might be going on 😂
142,i started Squid Games last night for the second time. The first time it didn’t get my attention because it starts s… https://t.co/nNtcMP6eNL
143,@MideMicheals What's squid games
144,All this talk about squid game but I don’t see no one playing games with my squid 🤨
145,Thank you Squid Games
146,I used to get comments for watching K Drama and now half of the globe is watching Squid games https://t.co/wFmk31k1su
147,@sabbiee25 Lmaooooo squid games
148,Halfway through watching the series Squid Games and I have to say it has kept me awake. It's 6:30 a.m. and I have t… https://t.co/CGtCORvNa0
149,@AngeMalapane @Anele_thethani1 @Alpha_Reeyah Just watch Squid Games akinyaki uyi Spoiler for everyone it's a good series
150,"EP 2 OF SQUID GAMES SPOILER WARNING!
/
/
/
/
this ep was imo kinda boring LMAO but it gave backstory which is good… https://t.co/EpnUOV02AZ"
151,Last ep of squid games ....
152,Lethal kids games drive viral fame of Netflix series “Squid Games” https://t.co/XXD1qW2eaI https://t.co/0M8Z62uHnd
153,Netflix says that the hit South Korean thriller series could become its most popular show yet globally. https://t.co/dr4q0aeqWT
154,"After watching Squid Games, I wanna get some teams together and try tug of war again 😂"
155,"Day 3 - Kdrama you recently finished
Squid Games. Rame abis ni drama, emang seru bgt https://t.co/z5jgRx5v7a"
156,Squid games got me!! I knew they were gonna make me cry when it came to the old man…but the girl got me too🥺🥺😭
157,@vedancc squid games?
158,@holdthesarcasm but its fun. i start midnight mass few days after i finished squid games
159,I think I could survive squid games 🧐
160,I wish I were a squid playing games
161,"its always squid games this, squid games that

how bout u squid playing games with me homie 🔫😳"
162,I guess i can finally watch squid games today too since ima be alone
163,"@_noodlefn Squid games average, sex education pretty good"
164,HHODS needs to do a voice over of squid games ASAP 😂
165,I’m really up at 5AM watching squid games smh
166,Squid Games...very odd but such a good watch. Highly recommended 9/10
167,Each episode of squid games is as long as a movie
168,squid game was the actual hunger games #iykyk #squidgame
169,I don’t get the Squid Games hype!
170,@janaythemack @KayyHooligan @Alfonzzy_ @e_kickz Squid games
171,if i start squid games right after this do you all think i'd be okay lol
172,Squid games is bugged out 🤔💭
173,Do us all a favor #RobloxDevs please stop making games using @netflix's squid game as a way to make a few thousand… https://t.co/LOfYDlrCVd
174,"Also, I watched squid games and my heart broke when she died :)))"
175,watching squid games w mom
176,Squid games got me up late 😂😂
177,#WebsiteTechNews #website #websitehelp #websitenews #websitepost Hit Netflix show Squid Game is taking over Roblox:… https://t.co/sESgXvFjT2
178,Squid Game c'est Hunger Games en fait
179,Just finished squid games and woah.. @netflix #SquidGame
180,@Ness_Graphics @withFND Trading crypto is a lot bloodier than squid games.
181,"@model8197 Fish game and all the Roblox games on ""Squid game"""
182,Dodging Squid Games spoilers is getting harder and harder by the day
183,"So wait the squid games is like Hunger games, done better I presume cause the Koreans never miss"
184,@kodokumochii @Cerbera_ssb Not the squid games oh noo!
185,"I am also in same league I could watch squid games, feels like every other person watched it!!!!!even my sis who  i… https://t.co/4i0Z5Ilk75"
186,"With these squid game craze rn, are we going back to battle royal or hunger games era again? 😆"
187,@ilyasmasker Squid games
188,"not gonna lie squid game made me miss playing childhood games,,"
189,I’ve got to finish squid games I was skeptical I’m always skeptical 😂 but I hasn’t disappointed me
190,laughing at these squid games memes when i don't even watch the series
191,"Watched Episode 6 of Squid Games last night, still recovering 😭"
192,Lethal kids games drive viral fame of Netflix's Squid Game https://t.co/rh4oDYEzGL
193,Up watching squid games high af
194,Everyone on that ppp list gonna be on the squid games
195,i would play the squid games to have kth1 out now and some live performances. i’m in desperate need of good music
196,"@arianaathomas insane fr, next up, squid games !!"
197,when twitter and tiktok is full of squid games and i’ve watched the show 2 times i REALLY NEED HELP PLS
198,SQUID GAMES
199,My boy put me on squid games yesterday tell me why I watched that shit all night like ain got work now I’m sick 🤣
200,First ep of squid games didn't move me.
201,"Hearing ""Squid Games"" is like ""3%"" on steroids. Sounds like my kind of show"
202,after i finish my midterms im gonna binge watch Squid Games
203,Enough of squid games . It’s sotong hitam. The real squid 😂. Do you miss this? @ImranAjmain or you having it there… https://t.co/f49dTMdfpz
204,I bet squid games doing many numbers in Korea
205,soundtrack to squid games is so good man there were scenes that had me at a standstill no blinking just 100% focus 😭
206,Who is up for a lil 'Squid Game'? Without the killing and money though. Just throwback games to enjoy
207,Squid games is just a reminder that depts are extremely depressive and you find yourself selling your soul to the devil to pay up
208,Alice in borderland &gt; squid games 🤯🤯
209,Man I’m watching squid games again today 😂
210,Squid games is wild
211,@MikkyWisperz Oi squid games is dope bro
212,"Wait, what's going on kwi Squid Games? 😩"
213,Squid games really get many Likes om tiktok and twitter
214,"@yoonfinity_7 If you're gonna watch both then watch squid games first, I heard alice one is more nice so leave it for later 😭"
215,Can we do a global squid games?
216,squid games messed me up 🥺
217,is squid games like actually badly gory because that’s the only thing putting me off watching it
218,I got up at 5.. why is Ky’Mir up &amp; already dressed for school in my living from watching Squid Games.. I keep heari… https://t.co/UfekaTei3Q
219,"OH MY GOD, EPISODE 4 OF SQUID GAMES, THIS IS AMAZING, THE GORE IN THIS SHIT??? &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;"
220,Boul in squid games a terrible dad😭
221,"Honestly, playing squid games is nothing to lose. Like, we either d word or getting money."
222,The ppp loan jokes corny but somebody said they going to the squid games 😭
223,@drmcomfort Squid games before you sleep is not a good idea 😭
224,"I'm brilliant with kid games.

Lets go squid game 😭 https://t.co/o8eku7Z3Ia"
225,trying not to do the whole spoilers thing but that movie was the reason I knew what was coming when the winner of S… https://t.co/pmR6PjMnh3
226,@kawwor No i will win squid impact im good at survival games /j
227,"fuck squid game, where the squirt games at? 👀"
228,since we're speaking of Squid Games.. who has seen Would You Rather? that one with Sasha Grey and Brittany Snow.
229,you’re watching squid games DUBBED???? grow up
230,Of course I’m watching Squid Games at 6am
231,"from what i've seen on the tl squid game is something along the lines of the hunger games, as the gods will and alice in borderland . .?"
232,@MothGirlsWife yep I personally find it better than squid game bc the games are more interesting and way less predi… https://t.co/kOxFl2nzzK
233,I don’t blame them. After seeing her in squid games I became a k pop fan https://t.co/2MUlTLoObK
234,Nobapp squid games had me crying laughing 😭😭😭😭😭😭
235,Investing in the any market is feeling a lot like squid games these days.
236,You people should keep your squid games hot takes abeg
237,Squid games twisted as a mf 😵‍💫
238,@NetflixFilm The squid games doll didn’t kill anyone the guns did. It’s just a computer. Annabelle on the other hand….
239,I Fucks With Squid Game..Wish They’d Played More Cool Games Tho..Maybe If They Do A Season 2
240,@umaangggg Squid games dekhi??
241,These squid games references have me screaming. 😂 https://t.co/ez6N2GSPpZ
242,the fuck is squid games and why everyone wants to be slapped by man in his 40s
243,"my favourite game on squid games was the one where they had to walk on glass, lmao i was in tears"
244,Nah the ending really pissed me off to squid games
245,wayvhing ep 8 of squid games
246,"😂 I tried to watch squid games dubbed but their mouth and words not aligning was really doing me, it was my sole focus for a good 30mins"
247,So y’all watched squid games in English I’m crying laughing cause they mouth don’t match the words 😂
248,Is squid game like hunger games ? Does that mean the dystopian genre is back on trend ?! https://t.co/LOku4JCXQP
249,Everyone talkin about Squid Games proves my theory that there’s more people that would like anime if they tried it out.
250,"Let me tell you

Squid Games on Netflix fucked my head 🦑"
251,"THT: Lethal kids games drive viral fame of Netflix series ""Squid Game"" - https://t.co/xeP6y4BxwS -"
